"Alpha","Points:0","Points:1","Points:2","V:0","V:1","V:2","Wave_Drag","Wave_Drag_2D","Wave_Height","Wave_Height_2D","Wave_slope"
0.23348,116,2,-595.55,7.6182,0.39613,0.68133,0.044077,0.0061893,-0.49785,-0.36985,0.044146
0.22951,124,2,-595.55,7.8229,0.42576,1.5833,0.051917,0.0077839,0.19157,0.1058,0.11021
0.19529,132,2,-595.55,8.2539,0.083881,0.93903,0.055122,0.0080768,0.36634,0.26062,-0.079529
0.26911,140,2,-595.55,8.6958,-0.31994,-0.35319,0.076142,0.01273,-0.093205,0.067847,0.044387
0.24886,148,2,-595.55,9.0223,-0.26473,-1.3651,0.085511,0.015636,0.41357,0.30095,0.10451
0.17602,156,2,-595.55,9.3335,0.10174,-0.93432,0.077993,0.014385,0.24465,0.21503,-0.10759
0.24286,164,2,-595.55,9.5077,0.37758,0.87953,0.097271,0.017671,-0.10197,-0.034221,0.017284
0.21914,172,2,-595.55,9.4092,0.39743,1.8653,0.090889,0.017773,-0.042112,-0.052493,0.013262
0.20776,180,2,-595.55,9.3,0.091329,1.5279,0.083245,0.014372,-0.044542,-0.064186,0.00047761
0.25195,188,2,-595.55,9.2754,-0.16423,0.85963,0.089431,0.013201,-0.16483,-0.091581,0.062901
0.19567,4,2,-585.7,11.055,0.2982,-2.1438,0.14091,0.028038,-0.19713,-0.20798,-0.039439
0.21584,12,2,-585.7,10.932,0.6618,-1.3985,0.14108,0.029238,-0.1803,-0.14351,0.045791
0.21713,20,2,-585.7,10.013,0.72015,-0.83965,0.10471,0.019756,0.057296,0.042744,0.065123
0.20386,28,2,-585.7,8.8216,0.54314,-0.87511,0.06676,0.010818,0.20758,0.16815,-0.0035568
0.25288,36,2,-585.7,8.0403,0.39861,-1.0046,0.055691,0.0080521,0.12128,0.1222,0.03268
0.20942,44,2,-585.7,7.8305,0.32703,-0.73135,0.045675,0.0064899,0.040493,0.018751,-0.064719
0.2118,52,2,-585.7,8.0508,0.15678,-0.24178,0.052385,0.0083966,-0.17074,-0.079187,0.00016628
0.21975,60,2,-585.7,8.4901,-0.080682,-0.039601,0.066085,0.011083,0.16735,0.071389,0.02015
