"Alpha","Points:0","Points:1","Points:2","V:0","V:1","V:2","Wave_Drag","Wave_Drag_2D","Wave_Height","Wave_Height_2D","Wave_slope"
0.73868,76,2,-546.33,5.7431,0.00023935,-0.44382,0.032124,0.0027017,-0.4789,-0.31728,-0.12278
0.72311,84,2,-546.33,6.1079,-0.16798,-0.25759,0.047261,0.0043575,-0.25504,-0.24134,0.037108
0.76282,92,2,-546.33,5.7239,-0.15767,-0.89849,0.034083,0.0026211,0.051028,-0.0045628,0.00053704
0.76006,100,2,-546.33,5.0161,0.055829,-1.3481,0.019393,0.0010776,0.023547,0.075917,0.0020109
0.76006,108,2,-546.33,4.6472,0.15217,-0.37046,0.015053,0.0006341,0.31029,0.21661,0.067077
0.76006,116,2,-546.33,4.5322,0.043164,1.0489,0.0099348,0.00035874,0.034983,0.04586,-0.15346
0.76006,124,2,-546.33,4.4192,-0.087282,1.7444,0.0096513,0.0003142,-0.17506,-0.13862,-0.092634
0.76006,132,2,-546.33,4.4218,-0.12767,1.771,0.011469,0.00038227,-0.16649,-0.094853,0.12029
0.76006,140,2,-546.33,4.6895,-0.096707,1.4314,0.015753,0.00074591,0.27188,0.14726,-0.022285
1.2024,148,2,-546.33,5.2285,-0.050704,0.61963,0.028232,0.0018563,-0.03747,0.015611,-0.056514
0.78729,156,2,-546.33,5.9578,0.0081648,-0.50105,0.04884,0.0043173,-0.028332,-0.031844,0.029096
0.71605,164,2,-546.33,6.6748,0.047716,-1.1803,0.079273,0.0080674,-0.040266,-0.065584,-0.0027657
0.66691,172,2,-546.33,6.9073,0.041042,-1.0779,0.084564,0.0094734,-0.20411,-0.106,0.0936
0.70489,180,2,-546.33,6.3016,0.091783,-0.8166,0.054631,0.0049507,0.22068,0.066434,0.024059
1.237,188,2,-546.33,5.3734,0.15614,-0.94273,0.028042,0.0014616,-0.28,-0.093376,-0.066642
0.53942,4,2,-536.48,9.5948,-0.59075,1.4127,0.2442,0.036169,-0.10782,-0.099162,0.077152
0.42261,12,2,-536.48,10.239,-0.49443,0.29806,0.24505,0.043735,0.33604,0.25493,-2.9529e-05
0.46113,20,2,-536.48,9.0269,-0.0022718,-0.42634,0.16533,0.025435,0.29322,0.27512,0.012362
0.49714,28,2,-536.48,7.1567,0.22958,-0.65599,0.071774,0.0079807,0.14178,0.05951,-0.10101
0.80785,36,2,-536.48,6.1742,0.10029,-0.51045,0.050727,0.0044345,-0.50326,-0.35637,-0.0016793
0.75837,44,2,-536.48,6.2045,-0.14632,-0.28725,0.05296,0.004831,-0.26691,-0.24185,0.056926
0.67747,52,2,-536.48,6.6556,-0.30062,-0.16239,0.073149,0.0074673,0.11985,0.11555,0.11691
0.55461,60,2,-536.48,6.7194,-0.35877,-0.04772,0.066026,0.0071662,0.48079,0.385,0.059347
